AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,Frontal,Temporal,Parietal,Occipital,Fronto-central,Participant,Game,Emotion,satisfaction,boredom,horrible,calm,funny,gender,arousal,valence
24.0847,-5.1943,8.0279,-7.0837,31.6404,-9.9173,-19.3616,-7.0837,5.1943,34.4732,-37.3068,27.8626,-7.0837,46.752,6.926283333333334,19.83415,-4.722100000000001,19.83375,-13.22265,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
16.5002,-4.4105,-3.3153,-12.7972,16.0468,-5.0714,-12.0605,-6.1865,9.1335,28.1548,-27.0405,21.9408,3.2587,52.9191,1.158766666666667,28.0889,-2.549850000000001,18.64415,-9.1235,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
18.815,1.0484,-2.6443,-14.3918,0.984,0.4272,-2.3647,-4.399,16.6125,25.9934,-18.3344,22.985,12.0353,47.3824,0.7064166666666668,29.70885,2.3253000000000004,21.302950000000003,-3.38185,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
7.2976,-0.90299,-8.152,-11.6389,-2.4482,0.40156,-6.9459,-3.1899,13.7273,25.378,-24.7901,26.328,4.7017,30.4395,-2.5738216666666665,17.5706,0.7689500000000002,19.55265,-5.0679,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.2244,-7.9329,-1.5239,-16.1352,-0.88444,-3.873,-1.3344,-8.1932,16.209,17.7164,-19.0532,11.0536,9.6143,17.6846,-5.09564,13.64945,-3.999800000000001,16.962699999999998,-4.7638,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.0994,-11.2349,-0.48824,-16.1114,-1.7756,-2.6955,-4.0871,-7.7016,7.6815,15.7091,-13.1869,-3.7097,9.0374,27.013,-5.734173333333334,18.0252,-8.4483,11.6953,-5.89435,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
3.2213,-6.3103,1.9021,-9.95,-1.1974,-4.8957,1.3529,0.78886,12.4145,14.294,-8.1461,-12.527,13.6899,28.6976,-2.871666666666666,21.19375,-10.33655,13.35425,1.07088,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
11.0559,-8.2932,3.2053,-17.3809,3.1245,-10.7414,-0.14557,-0.67575,9.309,6.3527,-19.4632,-11.3033,8.6185,17.0593,-3.1716333333333337,12.8389,-15.38325,7.83085,-0.4106599999999999,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
19.3652,-7.323,2.5404,-13.0327,16.6318,-3.957,-8.1652,-4.8857,-1.1673,10.222,-30.1017,3.4749,-5.5934,24.0632,2.370783333333333,9.2349,-13.3134,4.52735,-6.52545,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
20.0917,-7.8288,12.7774,-2.8056,15.6347,-6.5533,-2.9522,-9.3147,0.79211,13.3866,-30.1841,6.64,-11.8693,23.5636,5.21935,5.84715,-11.77205,7.089354999999999,-6.13345,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
