"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
4.8205,-3.3742,7.713,5.7848,18.3178,-0.9641,-17.354,-8.1949,0.9641,-7.713,-2.4104,10.1231,-56.4,2.4104,
1.639,-6.5465,5.3218,1.0992,13.3626,-11.9932,-17.7588,-9.6312,3.7985,-7.7319,-1.3016,5.1772,-47.2314,4.1937,
4.1917,-1.5739,8.136,1.7561,12.3199,-16.8173,-15.006,-5.9203,5.7398,-6.0632,2.8738,3.6613,-37.4077,-3.5297,
6.833,-0.99732,8.6119,8.3994,17.365,-10.9877,-10.7314,-7.493,1.5392,-6.1811,1.7373,5.8519,-37.0914,-8.1384,
8.8329,-0.93771,10.9875,10.7878,16.8053,-4.0622,-6.7133,-11.382,0.96473,-6.2924,3.5615,1.1623,-33.4199,-3.3116,
9.026,1.7699,12.9796,8.9354,10.7355,-4.5411,-7.0336,-8.0478,1.1476,-5.6741,7.9273,-3.0046,-24.907,-0.46156,
6.0744,1.1817,11.7184,11.2918,10.5733,-7.6431,-8.0574,-6.1186,2.0431,-4.3693,0.70276,-1.8604,-26.3048,-6.7004,
4.0227,5.2082,13.1849,14.2297,14.0363,-2.1229,-7.333,-6.4749,4.572,-3.3843,-2.9548,0.90274,-31.2343,-7.0217,
-0.075082,2.4856,7.5731,5.6632,12.7122,0.41464,-10.2675,-10.9066,-2.4512,-9.9297,0.59691,0.84858,-32.2525,-6.118,
0.41136,2.3364,5.1905,9.6617,17.2521,4.2462,-8.6871,-11.2166,-4.2323,-6.9238,-1.3671,14.295,-25.4969,-1.4126,
-0.81816,0.99096,6.0844,13.6617,13.0835,4.7147,-9.8531,-5.4819,-1.8092,-0.48279,-10.2027,21.8734,-30.4745,0.8413,
-2.9385,-1.2374,4.9962,6.8163,8.6833,2.2625,-10.467,-3.9479,1.4326,1.2336,0.77358,11.6427,-39.9745,1.9959,
-2.2802,3.1751,7.1066,9.2994,13.9469,2.1267,-7.9108,-5.1573,-1.0635,-0.76903,9.8857,6.1235,-39.9864,0.42987,
2.6773,5.8767,8.1264,13.5621,15.0382,5.3731,-4.5441,-1.9553,-3.8922,-1.2048,-3.2404,8.6486,-36.1409,-1.0417,
5.8909,1.1855,2.8183,6.4816,10.2793,6.0148,-7.1637,-2.3202,-3.6584,-3.0605,-10.2771,7.6475,-40.2392,-0.01512,
3.6092,0.63248,0.72105,6.0927,10.6269,3.2438,-9.626,-5.0735,-4.8852,-8.1795,-0.98335,7.671,-44.0914,-3.8706,
2.1874,-0.12837,1.4007,9.3426,3.9637,1.3619,-5.9154,-6.4559,-6.2793,-8.894,1.2448,7.9337,-39.2767,-8.2181,
